iter	Passed	Remaining
0	150	75121
1	156	38980
2	161	26809
3	167	20738
4	172	17111
5	179	14768
6	187	13202
7	192	11832
8	197	10751
9	203	9952
10	208	9259
11	213	8682
12	218	8203
13	223	7760
14	227	7371
15	233	7069
16	238	6779
17	242	6497
18	248	6290
19	253	6086
20	258	5897
21	264	5748
22	269	5592
23	274	5439
24	281	5345
25	286	5217
26	290	5082
27	294	4972
28	299	4862
29	303	4755
30	307	4657
31	311	4556
32	316	4474
33	320	4393
34	324	4309
35	328	4235
36	332	4164
37	336	4089
38	340	4019
39	343	3951
40	348	3896
41	351	3836
42	355	3779
43	359	3725
44	363	3678
45	367	3624
46	370	3574
47	375	3532
48	378	3487
49	382	3446
50	386	3405
51	390	3363
52	393	3321
53	397	3284
54	401	3245
55	405	3211
56	408	3175
57	412	3142
58	415	3108
59	419	3074
60	422	3043
61	426	3010
62	430	2985
63	433	2956
64	437	2925
65	440	2897
66	443	2869
67	447	2844
68	451	2818
69	454	2792
70	457	2765
71	461	2740
72	464	2718
73	468	2694
74	471	2670
75	474	2647
76	478	2626
77	481	2605
78	484	2583
79	488	2564
80	491	2542
81	495	2524
82	498	2504
83	501	2485
84	505	2465
85	508	2445
86	512	2430
87	515	2414
88	518	2396
89	522	2380
90	525	2362
91	529	2347
92	532	2331
93	536	2315
94	539	2300
95	543	2287
96	547	2273
97	550	2258
98	554	2245
99	557	2229
100	561	2217
101	564	2202
102	567	2187
103	571	2174
104	575	2163
105	579	2152
106	582	2140
107	586	2127
108	589	2114
109	593	2103
110	596	2091
111	600	2079
112	603	2067
113	607	2056
114	611	2046
115	614	2034
116	618	2024
117	622	2015
118	626	2005
119	629	1994
120	633	1983
121	636	1973
122	640	1962
123	644	1952
124	647	1941
125	650	1930
126	653	1920
127	657	1909
128	661	1901
129	664	1891
130	668	1881
131	671	1871
132	675	1863
133	678	1854
134	682	1844
135	685	1834
136	688	1824
137	692	1816
138	696	1808
139	699	1799
140	702	1789
141	706	1781
142	710	1772
143	713	1765
144	717	1756
145	720	1747
146	724	1738
147	727	1730
148	730	1721
149	733	1712
150	737	1704
151	740	1696
152	744	1688
153	748	1681
154	751	1672
155	754	1664
156	758	1657
157	762	1650
158	766	1643
159	769	1635
160	773	1627
161	776	1620
162	780	1612
163	783	1605
164	786	1597
165	790	1590
166	793	1583
167	797	1576
168	800	1568
169	804	1561
170	808	1554
171	811	1547
172	814	1539
173	817	1532
174	820	1524
175	824	1518
